Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
Hindi_image_1.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,"Kitni push-ups maar sakte ho daily?

5 aur agar tum niche ho to 50
HIT FOR SIX

Hattt kamina .."
Hindi_image_100.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender,"एक आदमी अपने पड़ोसी को
चिड़ाने के लिये किसी बात पे
बोला ...... यार तेरी शक्ल तो
बिल्कुल मेरे लौड़े जैसी है
पड़ोसी भी बाबा सैक्सीदास का
भक्त था पुरा हाज़िर जवाब तुरंत
से जवाब दिया।

पड़ोसी-तभी मैं सोचु भाभी
मुझे देखते ही अपनी टांगें क्यों
फैला लेती है"
Hindi_image_1000.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,"Sapna Wo Nal
Jo sote waqt dekha
Sapna Wo he
Jo Raat Ko tumhe Sone
-Titu M"
Hindi_image_1001.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Individual,Uofiicial Tit चाकू खरबूजे पर या खरबूजा चाकू कटेगा तो तेरा ह -Tut
Hindi_image_1003.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,"samunder kinaare baithe raho
lehare kabhi na kabhi zaroor aayegi

Kismat badle ya na badle
g@@nd zaroor dhul jaayegi"
Hindi_image_1007.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,National Origin,"There is a Group of Pakistani Scientists who claims that ""Earth is Flat"" and they also nallenged NASA to prove that Earth is Round. NASA had never responded them !!! Gaand ka ilaj ho sakta hai
gaandu ka nahi"
Hindi_image_1010.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,None,"Karnataka CM's
Kumarswami's Wife

Sahi Khel gya Bencho"
Hindi_image_1011.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Political,"Dear, Haha Reactors I Love You
Milo Kabhi, Chai Paani Peete Hai!"
Hindi_image_1015.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,Chunautiyo se bacha jaa sakta hai Lekin Chutiyo se Nahi 
Hindi_image_1016.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,None,ISKA MATLAB SAMJHE DAYA?
Hindi_image_1017.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,"ZINDGI ME 3 CHEEJE HAMESHA AATI RAHEGI

TATTI ,CHUNAUTI OR CHUTIYE"
Hindi_image_1018.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,"Exactly 10A.M aaj mera breakup hogya

SÜNA HAI YAHA KISİ KA BREAKUP HOGAYA HAİ
AUR WO BAHOT TAKLEEF MANHAI"
Hindi_image_1019.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,Show me the Biggest Toofan said the Biggest
Hindi_image_1021.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,Others,"During Viva *
Teacher : Naam kya he tera?
Me:

Bhul gya Saab"
Hindi_image_1024.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"During Viva *
Teacher : Naam kya he tera?
Me:

Bhul gya Saab"
Hindi_image_1025.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Individual,"BB fan ...

?

mr HOLA

Neem ka patta

bhadwa hai

kadwa hai"
Hindi_image_1026.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups,"Bhanje Tujhe pata he Chutiya kise kehte he

Jo log Avengers End Game Ke spetlers de Rahe unko"
Hindi_image_103.jpg,Neutral,Sarcastic,Vulgar,Non-abusive,Gender,दो चीज़ें सबको भाती हैं बात ऊंची ऊंची और बड़ी बड़ी चूची! !
Hindi_image_1030.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,बादल की वजह से बारिश होती है
Hindi_image_1031.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,None,NA
Hindi_image_1032.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Others,"Ye Jo log Avenger
Game Ke spoilers d
unki shakal unke b
Jyada unke pado
milti he"
Hindi_image_1034.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,Individual,"Moment hai bhai, Moment hai."
Hindi_image_1037.jpg,Neutral,Sarcastic,Non Vulgar,Non-abusive,Individual,Everyone Is A Gangster Until The Real Gangster Walks ID
Hindi_image_104.jpg,Positive,Sarcastic,Vulgar,Non-abusive,Gender,"औरत डॉक्टर से थकान बहुत होती डॉक्टरः- सेक्स कितना करती हो ? औरतः रोज डॉक्टरः- SUNDAY मत करो औरतः- हाय दईया... SUNDAY ही तो पति घर होते है, उन्हे कैसे मना करूँ? "
Hindi_image_1041.jpg,Negative,Non-Sarcastic,Vulgar,Non-abusive,None,அறிவடு வில்வடி ஜ்வ் ஐம எஸலா்
Hindi_image_1044.jpg,Neutral,Non-Sarcastic,Non Vulgar,Non-abusive,None,"PAR
Maak

Angry

Master"
Hindi_image_1045.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Individual,"Bsdiwaalo
Mari to mai"
Hindi_image_1047.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Others,"Don't Cry Babe,
It's Just A Movie.

After Watching Endgame

Ab Bol.
Ab Bol Na Mc ...

u Sonu Sheikh and 25 others
Vijay Thakur O
Abe Bhosdiwalo Endgame Ka pirated
version dekhte ho"
